host,dopant,content,T10,T50,T90,Width,Sharpness,Tp,Selected,Description
GST,W,6%,140.14538356387857,331.4579475050387,331.6609588703775,191.51557530649893,7.971740029392571,330.4504504504505,False,"GST doped with W at 6%. W (Tungsten): Period 6, Z=74, M=183.84, Block d, Ox.states [4,6], Ionic radius: 42.0 pm, charge=6, coord=IV, EN: 1.7 (resistance)"
GST,W,7%,127.70200797350881,140.98420316285728,141.20584964158093,13.503841668072113,7.811206038114671,141.68168168168168,True,"GST doped with W at 7%. W (Tungsten): Period 6, Z=74, M=183.84, Block d, Ox.states [4,6], Ionic radius: 42.0 pm, charge=6, coord=IV, EN: 1.7 (resistance)"
GST,Ti,1%,144.00366158175225,268.82002578767185,269.01926041279006,125.0155988310378,7.258818249921147,266.966966966967,False,"GST doped with Ti at 1%. Ti (Titanium): Period 4, Z=22, M=47.87, Block d, Ox.states [4], Ionic radius: 67.0 pm, charge=3, coord=VI, EN: 1.54 (resistance)"
GST,Ti,2%,89.47866664536983,225.1594445520512,235.7749602527072,146.29629360733736,8.671658279957969,248.46846846846847,False,"GST doped with Ti at 2%. Ti (Titanium): Period 4, Z=22, M=47.87, Block d, Ox.states [4], Ionic radius: 67.0 pm, charge=3, coord=VI, EN: 1.54 (resistance)"
GST,Ti,3%,123.0212714155168,201.82189248831597,202.1421562754416,79.12088485992481,6.613677916775156,200.96096096096096,False,"GST doped with Ti at 3%. Ti (Titanium): Period 4, Z=22, M=47.87, Block d, Ox.states [4], Ionic radius: 67.0 pm, charge=3, coord=VI, EN: 1.54 (resistance)"
GST,Ti,4%,142.6029029016073,328.51883316788474,328.71878164859237,186.11587874698506,6.984426323698608,328.34834834834834,False,"GST doped with Ti at 4%. Ti (Titanium): Period 4, Z=22, M=47.87, Block d, Ox.states [4], Ionic radius: 67.0 pm, charge=3, coord=VI, EN: 1.54 (resistance)"
GST,Ti,5%,201.49073380925472,235.60988904528335,235.80666249374175,34.315928684487034,7.516279960699634,201.80180180180182,False,"GST doped with Ti at 5%. Ti (Titanium): Period 4, Z=22, M=47.87, Block d, Ox.states [4], Ionic radius: 67.0 pm, charge=3, coord=VI, EN: 1.54 (resistance)"
GST,Ti,6%,142.6774383450152,328.5129740773044,328.7176098304763,186.04017148546112,7.582871889760174,327.92792792792795,False,"GST doped with Ti at 6%. Ti (Titanium): Period 4, Z=22, M=47.87, Block d, Ox.states [4], Ionic radius: 67.0 pm, charge=3, coord=VI, EN: 1.54 (resistance)"
GST,Ti,7%,137.6435965670258,143.94916116523916,144.15319559641162,6.509599029385811,6.821514623813162,143.7837837837838,True,"GST doped with Ti at 7%. Ti (Titanium): Period 4, Z=22, M=47.87, Block d, Ox.states [4], Ionic radius: 67.0 pm, charge=3, coord=VI, EN: 1.54 (resistance)"
GST,Ti,8%,140.65005109651594,328.5167656482556,328.71836814466656,188.06831704815062,8.850507546066988,328.34834834834834,False,"GST doped with Ti at 8%. Ti (Titanium): Period 4, Z=22, M=47.87, Block d, Ox.states [4], Ionic radius: 67.0 pm, charge=3, coord=VI, EN: 1.54 (resistance)"
GST,Cu,1%,67.94298529121582,136.05466351701457,143.26572473317194,75.32273944195612,6.949528305849107,149.66966966966967,False,"GST doped with Cu at 1%. Cu (Copper): Period 4, Z=29, M=63.55, Block d, Ox.states [2], Ionic radius: 56.99999999999999 pm, charge=2, coord=IVSQ, EN: 1.9 (resistance)"
GST,Cu,2%,74.39670532563588,149.33696445058573,149.982248851745,75.58554352610912,6.139028847397537,149.66966966966967,False,"GST doped with Cu at 2%. Cu (Copper): Period 4, Z=29, M=63.55, Block d, Ox.states [2], Ionic radius: 56.99999999999999 pm, charge=2, coord=IVSQ, EN: 1.9 (resistance)"
GST,Cu,3%,76.89132116911422,132.21177121648685,134.85867537457673,57.96735420546251,7.652772431994691,134.53453453453454,False,"GST doped with Cu at 3%. Cu (Copper): Period 4, Z=29, M=63.55, Block d, Ox.states [2], Ionic radius: 56.99999999999999 pm, charge=2, coord=IVSQ, EN: 1.9 (resistance)"
GST,Cu,4%,59.677741186295,134.15820173986285,138.22129266061387,78.54355147431886,5.975382903497426,138.73873873873873,False,"GST doped with Cu at 4%. Cu (Copper): Period 4, Z=29, M=63.55, Block d, Ox.states [2], Ionic radius: 56.99999999999999 pm, charge=2, coord=IVSQ, EN: 1.9 (resistance)"
GST,Cu,5%,63.208889800424835,141.11091062644851,150.37907626041732,87.1701864599925,7.871203904789013,150.0900900900901,False,"GST doped with Cu at 5%. Cu (Copper): Period 4, Z=29, M=63.55, Block d, Ox.states [2], Ionic radius: 56.99999999999999 pm, charge=2, coord=IVSQ, EN: 1.9 (resistance)"
GST,Zn,1%,93.15775684250177,214.53445096799902,214.77475806146816,121.6170012189664,16.50997332507646,230.3903903903904,False,"GST doped with Zn at 1%. Zn (Zinc): Period 4, Z=30, M=65.38, Block d, Ox.states [2], Ionic radius: 60.0 pm, charge=2, coord=IV, EN: 1.65 (resistance)"
GST,Zn,2%,113.16674876471136,199.44405564917204,199.6485708895946,86.48182212488324,11.629626824363777,198.43843843843845,False,"GST doped with Zn at 2%. Zn (Zinc): Period 4, Z=30, M=65.38, Block d, Ox.states [2], Ionic radius: 60.0 pm, charge=2, coord=IV, EN: 1.65 (resistance)"
GST,Zn,3%,65.1102050578993,135.66175240872283,194.1353732154028,129.02516815750351,6.914408181321871,201.3813813813814,False,"GST doped with Zn at 3%. Zn (Zinc): Period 4, Z=30, M=65.38, Block d, Ox.states [2], Ionic radius: 60.0 pm, charge=2, coord=IV, EN: 1.65 (resistance)"
GST,Zn,4%,59.13787722950506,138.04851620171067,317.7523015410262,258.61442431152113,6.49367270087626,201.80180180180182,False,"GST doped with Zn at 4%. Zn (Zinc): Period 4, Z=30, M=65.38, Block d, Ox.states [2], Ionic radius: 60.0 pm, charge=2, coord=IV, EN: 1.65 (resistance)"
GST,Zn,5%,60.8272997044396,201.7794998418155,210.9481261416234,150.12082643718378,8.271195674822316,221.981981981982,False,"GST doped with Zn at 5%. Zn (Zinc): Period 4, Z=30, M=65.38, Block d, Ox.states [2], Ionic radius: 60.0 pm, charge=2, coord=IV, EN: 1.65 (resistance)"
GST,Al,1%,124.83672877003859,153.20780529584198,153.40432382193154,28.56759505189295,6.480321334708531,153.03303303303304,True,"GST doped with Al at 1%. Al (Aluminum): Period 3, Z=13, M=26.98, Block p, Ox.states [3], Ionic radius: 39.0 pm, charge=3, coord=IV, EN: 1.61 (resistance)"
GST,Al,2%,141.11377434561936,151.52666454621044,151.7227503266599,10.608975981040544,5.962545301834098,151.77177177177177,True,"GST doped with Al at 2%. Al (Aluminum): Period 3, Z=13, M=26.98, Block p, Ox.states [3], Ionic radius: 39.0 pm, charge=3, coord=IV, EN: 1.61 (resistance)"
GST,Al,3%,64.9330825649543,179.83897196132938,180.65967609298932,115.72659352803501,9.799014895474034,180.7807807807808,False,"GST doped with Al at 3%. Al (Aluminum): Period 3, Z=13, M=26.98, Block p, Ox.states [3], Ionic radius: 39.0 pm, charge=3, coord=IV, EN: 1.61 (resistance)"
GST,Al,4%,62.99536724673497,143.3078515287961,205.09136280112818,142.0959955543932,7.6379093912021565,204.74474474474476,False,"GST doped with Al at 4%. Al (Aluminum): Period 3, Z=13, M=26.98, Block p, Ox.states [3], Ionic radius: 39.0 pm, charge=3, coord=IV, EN: 1.61 (resistance)"
GST,Al,5%,145.85603353938396,161.5789334912661,161.80527618774317,15.949242648359217,5.482807848459572,161.86186186186188,True,"GST doped with Al at 5%. Al (Aluminum): Period 3, Z=13, M=26.98, Block p, Ox.states [3], Ionic radius: 39.0 pm, charge=3, coord=IV, EN: 1.61 (resistance)"
GST,C,1%,148.86693471353442,151.50215075178716,151.71784756777527,2.850912854240846,9.21906720113408,151.35135135135135,False,"GST doped with C at 1%. C (Carbon): Period 2, Z=6, M=12.01, Block p, Ox.states [-4,4], Ionic radius: -8.0 pm, charge=4, coord=III, EN: 2.55 (resistance)"
GST,C,2%,93.3180318475584,150.16492119729384,150.8295587099206,57.5115268623622,6.879814461351009,151.35135135135135,False,"GST doped with C at 2%. C (Carbon): Period 2, Z=6, M=12.01, Block p, Ox.states [-4,4], Ionic radius: -8.0 pm, charge=4, coord=III, EN: 2.55 (resistance)"
GST,C,3%,88.50393555192807,181.79573178505817,184.8556411375093,96.35170558558124,8.354645233198973,187.92792792792793,False,"GST doped with C at 3%. C (Carbon): Period 2, Z=6, M=12.01, Block p, Ox.states [-4,4], Ionic radius: -8.0 pm, charge=4, coord=III, EN: 2.55 (resistance)"
GST,C,4%,93.10051489087965,326.6824055005374,330.7770513878756,237.67653649699594,6.33523746952466,201.80180180180182,False,"GST doped with C at 4%. C (Carbon): Period 2, Z=6, M=12.01, Block p, Ox.states [-4,4], Ionic radius: -8.0 pm, charge=4, coord=III, EN: 2.55 (resistance)"
GST,N,1%,111.93135400534213,153.03301876431186,202.8868005375195,90.95544653217736,6.984526663068235,202.22222222222223,False,"GST doped with N at 1%. N (Nitrogen): Period 2, Z=7, M=14.01, Block p, Ox.states [-3,3,5], Ionic radius: 146.0 pm, charge=-3, coord=IV, EN: 3.04 (resistance)"
GST,N,2%,111.748733472436,152.61608435914545,152.94964329825618,41.200909825820176,6.908301196648894,151.77177177177177,False,"GST doped with N at 2%. N (Nitrogen): Period 2, Z=7, M=14.01, Block p, Ox.states [-3,3,5], Ionic radius: 146.0 pm, charge=-3, coord=IV, EN: 3.04 (resistance)"
GST,N,3%,182.9168445921834,188.51839464099822,188.71869394321507,5.801849351031677,8.276227117087378,201.80180180180182,True,"GST doped with N at 3%. N (Nitrogen): Period 2, Z=7, M=14.01, Block p, Ox.states [-3,3,5], Ionic radius: 146.0 pm, charge=-3, coord=IV, EN: 3.04 (resistance)"
GST,N,4%,112.49438912267341,201.8847082139365,202.18165592482234,89.68726680214893,8.30516445461449,202.22222222222223,False,"GST doped with N at 4%. N (Nitrogen): Period 2, Z=7, M=14.01, Block p, Ox.states [-3,3,5], Ionic radius: 146.0 pm, charge=-3, coord=IV, EN: 3.04 (resistance)"
GST,N,5%,148.19564064324504,201.92503743313532,202.16278526440533,53.96714462116029,6.132289164018523,201.80180180180182,False,"GST doped with N at 5%. N (Nitrogen): Period 2, Z=7, M=14.01, Block p, Ox.states [-3,3,5], Ionic radius: 146.0 pm, charge=-3, coord=IV, EN: 3.04 (resistance)"
GST,O,1%,121.10148915965063,141.7680207251326,142.71665173802097,21.615162578370345,6.894743363357936,142.52252252252254,True,"GST doped with O at 1%. O (Oxygen): Period 2, Z=8, M=16.00, Block p, Ox.states [-2], Ionic radius: 135.0 pm, charge=-2, coord=II, EN: 3.44 (resistance)"
GST,O,2%,121.72871835190186,142.4770284301215,142.85852365344513,21.12980530154327,7.488214904809357,149.24924924924926,True,"GST doped with O at 2%. O (Oxygen): Period 2, Z=8, M=16.00, Block p, Ox.states [-2], Ionic radius: 135.0 pm, charge=-2, coord=II, EN: 3.44 (resistance)"
GST,O,3%,119.34826560367837,140.87741228007184,141.184491465024,21.836225861345625,10.797335997572114,141.68168168168168,True,"GST doped with O at 3%. O (Oxygen): Period 2, Z=8, M=16.00, Block p, Ox.states [-2], Ionic radius: 135.0 pm, charge=-2, coord=II, EN: 3.44 (resistance)"
GST,As,1%,130.4887795245559,153.2041196278236,153.40358668832786,22.914807163771968,6.482603351396741,153.03303303303304,True,"GST doped with As at 1%. As (Arsenic): Period 4, Z=33, M=74.92, Block p, Ox.states [-3,3,5], Ionic radius: 33.5 pm, charge=5, coord=IV, EN: 2.18 (resistance)"
GST,As,2%,145.4187501777071,152.35617941456218,152.56132597300294,7.142575795295841,5.883027283325429,152.61261261261262,True,"GST doped with As at 2%. As (Arsenic): Period 4, Z=33, M=74.92, Block p, Ox.states [-3,3,5], Ionic radius: 33.5 pm, charge=5, coord=IV, EN: 2.18 (resistance)"
GST,As,3%,63.92986807924103,178.83369168831183,179.82396177481098,115.89409369556995,6.446910703148955,179.51951951951952,False,"GST doped with As at 3%. As (Arsenic): Period 4, Z=33, M=74.92, Block p, Ox.states [-3,3,5], Ionic radius: 33.5 pm, charge=5, coord=IV, EN: 2.18 (resistance)"
GST,As,4%,65.92969445084096,187.51818589237575,189.09626866373375,123.1665742128928,16.144931530704206,188.76876876876878,False,"GST doped with As at 4%. As (Arsenic): Period 4, Z=33, M=74.92, Block p, Ox.states [-3,3,5], Ionic radius: 33.5 pm, charge=5, coord=IV, EN: 2.18 (resistance)"
GST,In,1%,100.4889380346323,126.70767546676879,126.91510866692775,26.426170632295452,6.830992602586928,145.46546546546548,False,"GST doped with In at 1%. In (Indium): Period 5, Z=49, M=114.82, Block p, Ox.states [3], Ionic radius: 80.0 pm, charge=3, coord=VI, EN: 1.78 (resistance)"
GST,In,2%,98.19544269286065,148.9796746827551,149.19533433595086,50.99989164309021,5.893714106605017,148.82882882882885,False,"GST doped with In at 2%. In (Indium): Period 5, Z=49, M=114.82, Block p, Ox.states [3], Ionic radius: 80.0 pm, charge=3, coord=VI, EN: 1.78 (resistance)"
GST,In,3%,68.36751327481937,101.77047914702997,102.90996404590884,34.54245077108946,6.423289120832781,102.58258258258259,False,"GST doped with In at 3%. In (Indium): Period 5, Z=49, M=114.82, Block p, Ox.states [3], Ionic radius: 80.0 pm, charge=3, coord=VI, EN: 1.78 (resistance)"
GST,In,4%,89.98221099998422,101.88386329361035,102.10650238845224,12.124291388468023,8.732934573913639,107.2072072072072,False,"GST doped with In at 4%. In (Indium): Period 5, Z=49, M=114.82, Block p, Ox.states [3], Ionic radius: 80.0 pm, charge=3, coord=VI, EN: 1.78 (resistance)"
GST,In,5%,89.26294993827726,117.45095051045442,117.66436427626549,28.40141433798823,5.106031801726032,114.77477477477478,False,"GST doped with In at 5%. In (Indium): Period 5, Z=49, M=114.82, Block p, Ox.states [3], Ionic radius: 80.0 pm, charge=3, coord=VI, EN: 1.78 (resistance)"
GST,In,6%,93.71341869354839,140.99727441472686,141.2084638919548,47.495045198406416,6.133580029026781,148.82882882882885,False,"GST doped with In at 6%. In (Indium): Period 5, Z=49, M=114.82, Block p, Ox.states [3], Ionic radius: 80.0 pm, charge=3, coord=VI, EN: 1.78 (resistance)"
GST,Se,1%,94.43268166854715,150.38429860972417,151.67982086380283,57.247139195255684,7.620598294642146,151.35135135135135,False,"GST doped with Se at 1%. Se (Selenium): Period 4, Z=34, M=78.97, Block p, Ox.states [-2,2,4,6], Ionic radius: 28.000000000000004 pm, charge=6, coord=IV, EN: 2.55 (resistance)"
GST,Se,2%,83.16527693723509,151.72012421495833,153.37648687247597,70.21120993524087,7.649847094127791,153.03303303303304,False,"GST doped with Se at 2%. Se (Selenium): Period 4, Z=34, M=78.97, Block p, Ox.states [-2,2,4,6], Ionic radius: 28.000000000000004 pm, charge=6, coord=IV, EN: 2.55 (resistance)"
GST,Se,3%,94.91885246181825,181.82078793055908,182.79533896768703,87.87648650586878,9.163062966808244,182.46246246246247,False,"GST doped with Se at 3%. Se (Selenium): Period 4, Z=34, M=78.97, Block p, Ox.states [-2,2,4,6], Ionic radius: 28.000000000000004 pm, charge=6, coord=IV, EN: 2.55 (resistance)"
GST,Se,4%,114.46283486041176,201.54014785760768,201.7494710129634,87.28663615255164,7.269860080658069,201.3813813813814,False,"GST doped with Se at 4%. Se (Selenium): Period 4, Z=34, M=78.97, Block p, Ox.states [-2,2,4,6], Ionic radius: 28.000000000000004 pm, charge=6, coord=IV, EN: 2.55 (resistance)"
GST,Se,5%,136.0825563146063,186.40735985746156,186.61480530482606,50.532248990219756,7.008023510475955,186.24624624624624,False,"GST doped with Se at 5%. Se (Selenium): Period 4, Z=34, M=78.97, Block p, Ox.states [-2,2,4,6], Ionic radius: 28.000000000000004 pm, charge=6, coord=IV, EN: 2.55 (resistance)"
GST,Se,6%,118.73934820871669,186.37985919595084,186.609305172524,67.8699569638073,6.814434371007634,186.66666666666669,False,"GST doped with Se at 6%. Se (Selenium): Period 4, Z=34, M=78.97, Block p, Ox.states [-2,2,4,6], Ionic radius: 28.000000000000004 pm, charge=6, coord=IV, EN: 2.55 (resistance)"
GST,TiO2,1%,100.35043282246032,235.64234992048964,268.98319618186264,168.6327633594023,8.598297578178112,266.966966966967,False,"GST doped with TiO2 at 1%. Ti (Titanium): Period 4, Z=22, M=47.87, Block d, Ox.states [4], Ionic radius: 67.0 pm, charge=3, coord=VI, EN: 1.54; O (Oxygen): Period 2, Z=8, M=16.00, Block p, Ox.states [-2], Ionic radius: 135.0 pm, charge=-2, coord=II, EN: 3.44 (resistance)"
GST,TiO2,2%,89.47601799418736,164.35494726196518,268.9527938403583,179.47677584617094,7.9272012495357895,282.52252252252254,False,"GST doped with TiO2 at 2%. Ti (Titanium): Period 4, Z=22, M=47.87, Block d, Ox.states [4], Ionic radius: 67.0 pm, charge=3, coord=VI, EN: 1.54; O (Oxygen): Period 2, Z=8, M=16.00, Block p, Ox.states [-2], Ionic radius: 135.0 pm, charge=-2, coord=II, EN: 3.44 (resistance)"
GST,TiO2,3%,144.16640250012344,268.81480542091987,269.0182163394397,124.85181383931624,8.532978337194063,284.2042042042042,False,"GST doped with TiO2 at 3%. Ti (Titanium): Period 4, Z=22, M=47.87, Block d, Ox.states [4], Ionic radius: 67.0 pm, charge=3, coord=VI, EN: 1.54; O (Oxygen): Period 2, Z=8, M=16.00, Block p, Ox.states [-2], Ionic radius: 135.0 pm, charge=-2, coord=II, EN: 3.44 (resistance)"
GST,TiO2,4%,89.52416669883482,235.63645212019065,328.6516270693718,239.12746037053697,9.234378166840967,327.5075075075075,False,"GST doped with TiO2 at 4%. Ti (Titanium): Period 4, Z=22, M=47.87, Block d, Ox.states [4], Ionic radius: 67.0 pm, charge=3, coord=VI, EN: 1.54; O (Oxygen): Period 2, Z=8, M=16.00, Block p, Ox.states [-2], Ionic radius: 135.0 pm, charge=-2, coord=II, EN: 3.44 (resistance)"
GST,TiO2,5%,139.23184084559696,268.7926510340097,269.0137854620576,129.78194461646066,7.916203049864881,266.966966966967,False,"GST doped with TiO2 at 5%. Ti (Titanium): Period 4, Z=22, M=47.87, Block d, Ox.states [4], Ionic radius: 67.0 pm, charge=3, coord=VI, EN: 1.54; O (Oxygen): Period 2, Z=8, M=16.00, Block p, Ox.states [-2], Ionic radius: 135.0 pm, charge=-2, coord=II, EN: 3.44 (resistance)"
GST,TiO2,6%,97.90325945759618,235.65951166183163,328.6541512839943,230.75089182639812,8.259693968233362,343.4834834834835,False,"GST doped with TiO2 at 6%. Ti (Titanium): Period 4, Z=22, M=47.87, Block d, Ox.states [4], Ionic radius: 67.0 pm, charge=3, coord=VI, EN: 1.54; O (Oxygen): Period 2, Z=8, M=16.00, Block p, Ox.states [-2], Ionic radius: 135.0 pm, charge=-2, coord=II, EN: 3.44 (resistance)"
GST,TiO2,7%,94.54111373162556,216.3649105944875,235.77798689042098,141.23687315879542,7.465235376999011,233.75375375375376,False,"GST doped with TiO2 at 7%. Ti (Titanium): Period 4, Z=22, M=47.87, Block d, Ox.states [4], Ionic radius: 67.0 pm, charge=3, coord=VI, EN: 1.54; O (Oxygen): Period 2, Z=8, M=16.00, Block p, Ox.states [-2], Ionic radius: 135.0 pm, charge=-2, coord=II, EN: 3.44 (resistance)"
GST,TiO2,8%,113.63865547873229,321.51812475911476,328.68832914239294,215.04967366366066,11.190019572530364,343.4834834834835,False,"GST doped with TiO2 at 8%. Ti (Titanium): Period 4, Z=22, M=47.87, Block d, Ox.states [4], Ionic radius: 67.0 pm, charge=3, coord=VI, EN: 1.54; O (Oxygen): Period 2, Z=8, M=16.00, Block p, Ox.states [-2], Ionic radius: 135.0 pm, charge=-2, coord=II, EN: 3.44 (resistance)"
GST,TiO2,9%,98.1662891529733,235.6476703525066,307.69624630157347,209.52995714860015,8.540919181679985,343.06306306306305,False,"GST doped with TiO2 at 9%. Ti (Titanium): Period 4, Z=22, M=47.87, Block d, Ox.states [4], Ionic radius: 67.0 pm, charge=3, coord=VI, EN: 1.54; O (Oxygen): Period 2, Z=8, M=16.00, Block p, Ox.states [-2], Ionic radius: 135.0 pm, charge=-2, coord=II, EN: 3.44 (resistance)"
GST,TiO2,10%,94.29259672140489,225.20312704756446,247.1218802357187,152.8292835143138,6.692331733364357,259.8198198198198,False,"GST doped with TiO2 at 10%. Ti (Titanium): Period 4, Z=22, M=47.87, Block d, Ox.states [4], Ionic radius: 67.0 pm, charge=3, coord=VI, EN: 1.54; O (Oxygen): Period 2, Z=8, M=16.00, Block p, Ox.states [-2], Ionic radius: 135.0 pm, charge=-2, coord=II, EN: 3.44 (resistance)"
GST,ZnO,1%,121.64955255443995,158.6392880506217,158.86299274525993,37.21344019081998,6.066809841461481,158.91891891891893,False,"GST doped with ZnO at 1%. Zn (Zinc): Period 4, Z=30, M=65.38, Block d, Ox.states [2], Ionic radius: 60.0 pm, charge=2, coord=IV, EN: 1.65; O (Oxygen): Period 2, Z=8, M=16.00, Block p, Ox.states [-2], Ionic radius: 135.0 pm, charge=-2, coord=II, EN: 3.44 (resistance)"
GST,ZnO,2%,93.78168303100514,153.47380144361952,153.79385938782366,60.012176356818514,9.650443237052903,153.45345345345345,False,"GST doped with ZnO at 2%. Zn (Zinc): Period 4, Z=30, M=65.38, Block d, Ox.states [2], Ionic radius: 60.0 pm, charge=2, coord=IV, EN: 1.65; O (Oxygen): Period 2, Z=8, M=16.00, Block p, Ox.states [-2], Ionic radius: 135.0 pm, charge=-2, coord=II, EN: 3.44 (resistance)"
GST,ZnO,3%,103.31907403790065,181.36756765085929,181.5708108274696,78.25173678956894,6.653357166057706,181.2012012012012,False,"GST doped with ZnO at 3%. Zn (Zinc): Period 4, Z=30, M=65.38, Block d, Ox.states [2], Ionic radius: 60.0 pm, charge=2, coord=IV, EN: 1.65; O (Oxygen): Period 2, Z=8, M=16.00, Block p, Ox.states [-2], Ionic radius: 135.0 pm, charge=-2, coord=II, EN: 3.44 (resistance)"
GST,ZnO,4%,109.20932412686072,317.5758481543348,317.7854399011377,208.57611577427696,5.975518061879864,201.80180180180182,False,"GST doped with ZnO at 4%. Zn (Zinc): Period 4, Z=30, M=65.38, Block d, Ox.states [2], Ionic radius: 60.0 pm, charge=2, coord=IV, EN: 1.65; O (Oxygen): Period 2, Z=8, M=16.00, Block p, Ox.states [-2], Ionic radius: 135.0 pm, charge=-2, coord=II, EN: 3.44 (resistance)"
GST,ZnO,5%,116.71206545378175,177.13674178326613,177.3612822905876,60.64921683680586,6.899086258372177,178.25825825825825,False,"GST doped with ZnO at 5%. Zn (Zinc): Period 4, Z=30, M=65.38, Block d, Ox.states [2], Ionic radius: 60.0 pm, charge=2, coord=IV, EN: 1.65; O (Oxygen): Period 2, Z=8, M=16.00, Block p, Ox.states [-2], Ionic radius: 135.0 pm, charge=-2, coord=II, EN: 3.44 (resistance)"
GST,ZnO,6%,91.30336301173051,181.71173763308175,181.9759811602505,90.67261814852,11.964077439433373,182.04204204204206,False,"GST doped with ZnO at 6%. Zn (Zinc): Period 4, Z=30, M=65.38, Block d, Ox.states [2], Ionic radius: 60.0 pm, charge=2, coord=IV, EN: 1.65; O (Oxygen): Period 2, Z=8, M=16.00, Block p, Ox.states [-2], Ionic radius: 135.0 pm, charge=-2, coord=II, EN: 3.44 (resistance)"
GST,ZnO,7%,63.44513967719327,149.46725611236988,152.14992056062533,88.70478088343206,10.78523975268791,153.45345345345345,False,"GST doped with ZnO at 7%. Zn (Zinc): Period 4, Z=30, M=65.38, Block d, Ox.states [2], Ionic radius: 60.0 pm, charge=2, coord=IV, EN: 1.65; O (Oxygen): Period 2, Z=8, M=16.00, Block p, Ox.states [-2], Ionic radius: 135.0 pm, charge=-2, coord=II, EN: 3.44 (resistance)"
GST,ZnO,8%,62.96642586175617,141.61448588442522,328.6461480022194,265.6797221404632,7.211338272337461,205.16516516516518,False,"GST doped with ZnO at 8%. Zn (Zinc): Period 4, Z=30, M=65.38, Block d, Ox.states [2], Ionic radius: 60.0 pm, charge=2, coord=IV, EN: 1.65; O (Oxygen): Period 2, Z=8, M=16.00, Block p, Ox.states [-2], Ionic radius: 135.0 pm, charge=-2, coord=II, EN: 3.44 (resistance)"
GST,ZnO,9%,66.31851172086334,196.8156778506097,204.65136332397364,138.3328516031103,9.858326922980579,203.06306306306308,False,"GST doped with ZnO at 9%. Zn (Zinc): Period 4, Z=30, M=65.38, Block d, Ox.states [2], Ionic radius: 60.0 pm, charge=2, coord=IV, EN: 1.65; O (Oxygen): Period 2, Z=8, M=16.00, Block p, Ox.states [-2], Ionic radius: 135.0 pm, charge=-2, coord=II, EN: 3.44 (resistance)"
